# pdb_id	chain

1ake	A
1bta	A
1crn	A
1ubq	A
1ycr	A
2ci2	A
2ptc	A
2trx	A
2hhb	A
2igd	A
3chy	A
3cln	A
3hvp	A
3pgk	A
3pyp	A
3rn3	A
4ake	A
4cha	A
4dfr	A
4hhb	A
4icb	A
4ubp	A
5pti	A
5rsa	A
5tim	A
5ubq	A
6ins	A
6ldh	A
6lyz	A
6mjm	A
6pti	A
7ahl	A
7cat	A
7fd1	A
7hvp	A
7lyz	A
8adh	A
8atc	A
8cat	A
8dfr	A
8fab	A
9api	A
9lyz	A
9pap	A
9rnt	A
1a2y	A
1b7f	A
1cgo	A
2a3d	A
2bop	A
3a8g	A
3b5c	A
4a9c	A
5a0f	A
6a1m	A
7a2p	A
8a3r	A
9a4t	A

